Text,Label
رئیس ستاد جلیلی، نتایج نظرسنجی یک نهاد امنیتی را منتشر کرد / آذری جهرمی: برآورد دستگاه‌های امنیتی چگونه به دست شما رسیده است؟ مگر در مرخصی نیستید؟,سیاست
ستاد انتخابات: خرید و فروش آراء، تهدید و اخلال در امر انتخابات جرم است,سیاست
صداوسیما: نظرسنجی نسبت داده شده به ما درباره انتخابات غیرواقعی است,سیاست
صالحی: جامعه بین الملل نسبت به پیروزی پزشکیان استقبال بیشتری نشان می‌دهد تا جلیلی / جلیلی ۶ سال مذاکره کرد اما چیزی حاصل نشد,سیاست
ستاد انتخابات: فروش آرا جرم است/ آرای انتخاباتی مخفی است/ تصویربرداری از رای ممنوع,سیاست
رشیدی کوچی خطاب به جلیلی: آیا حساب‌کشی‌های شما شامل محصولی و صدیقی هم خواهد بود؟,سیاست
عکس / ادامه تبلیغات سامانه تماس جلیلی بیست کال در ساعات ممنوعیت تبلیغات,سیاست
پاسخ محسن رنانی به پزشکیان: تصمیم گرفته‌ایم یک بار دیگر دیگر اعتماد کنیم و به نظام سیاسی فرصت تغییر بدهیم,سیاست
دیدار مخبر با پوتین در حاشیه اجلاس شانگهای,سیاست
پروفسور اجتهادی، رییس سابق انجمن فیزیک ایران: مردد بودم که رای بدهم یا نه، ولی مهر ریا بر پیشانی تعصب وحشتناک‌تر از آن است که مردد بمانم,سیاست
بیگدلی: دولت چهاردهم با نسل Z مهربان‌تر برخورد کند,سیاست
ظریف: اگر برجام کلاه بود چرا در این سه سال خارج نشدید؟,سیاست
عکس / شبنامه حامیان جلیلی: اگر جلیلی رای بیاورد بعید نیست در ماه های منتهی به ظهور امام زمان قرار بگیریم وگرنه ظهور به تعویق می افتد,سیاست
پیام سید حسن خمینی: با انتخاب مسئولانه راه را برای تحقق «عدالت و «همگرایی ملی» و «دوری از افراط» هموار کنید/ رأی ندادن راهبرد مطلوبی برای حل مشکلات جاری کشور نیست,سیاست
مهدی زنگنه، شاعر آیینی: یک دوقطبی شکل داده اند که هیاتی‌ها و مذهبی‌ها باید به جلیلی رای بدهند و اگر کسی به پزشکیان رای بدهد، قرار است شب اول محرم در خیابان برقصد / یک شاعر آیینی عکس پزشکیان را منتشر کرده؛ بالغ بر ۵۰ نفر حرف‌های رکیک به او زده اند / برخی در بدنه اجتماعی هیاتی‌ها می‌خواهند به پزشکیان رای بدهند، اما فکر می‌کنند اگر به پزشکیان رای بدهند به مقدسات خیانت و به امام حسین پشت کرده اند,سیاست
دولتی‌ها در روستا‌ها راه افتاده‌اند و برای جلیلی تبلیغ می‌کنند؛ این، عدالت انتخابات را خدشه دار می‌کند / همین که حوزه‌ها را تعطیل کرده‌اند و به طرفداری از یک نامزد وارد تبلیغات شده‌اند هم خلاف است / از فضای عمومی جامعه اینگونه به نظر می‌رسد که مردم دیدگاه پزشکیان را نزدیکتر به خود می‌دانند / مردم نمی‌خواهند تحت فشار تحریم باشند,سیاست
از زمان قطعنامه ۱۹۲۹ [در دوره جلیلی]، قیمت دلار و فروش نفت مان را ببینید چطور شد / زمانی که جلیلی پرونده را از لاریجانی گرفت ۵۰ تا تحریم داشیم، جلیلی با ۵۰۰ تحریم پرونده را تحویل داد / جلیلی سال ۸۸ یک بسته پیشنهادی به ۱+۵ داد که برای اصلاح دنیا، شمال آفریقا، غرب آسیا و تغییر ساختار سازمان ملل بود / جلیلی می‌گوید من دولت در سایه بودم و کمیته‌های مختلف داشتم؛ گاهی اقیانوس وسیعی می‌بینید، ولی با عمق کم,سیاست
رئیس ستاد جلیلی: کینه‌ها از کاظم صدیقی جای تعجب ندارد؛ چرا برخی چهره‌ها با تخریب او همراهی می‌کنند؟,سیاست
براوردها این است که نیمی از آرای قالیباف، به سمت پزشکیان و همان مقدار به سمت جلیلی برود؛ شاید بخشی از آن‌ها نیز پای صندوق نیایند / در دور اول، خیلی بیشتر از مقداری که تصور می‌شد کاهش مشارکت داشتیم,سیاست
ظریف: با زور و چماق نمی‌توانند حجاب بر سر مردم بگذارند / هر روز زندگی ما بدتر شده؛ گوشت چندین برابر قیمت شد اما جلیلی می‌گوید اوضاع بهتر شده,سیاست
هشدار واعظی: قوه قضاییه و شورای نگهبان به دولتی ها تذکر بدهند/ افراد سر صندوق‌هایی که رای پزشکیان در آنها بالا بوده در حال تغییرند,سیاست
ثابتی مشاور ارشد جلیلی: دولت سایه جلیلی به معنای دولت سایه برای کل حاکمیت است نه فقط برای قوه مجریه,سیاست
فاضلی: باید زیر باران فحش و طعنه در کارزار انتخاباتی بوده باشید تا بدانید ظریف و آذری جهرمی این روزها چه کار بزرگی کرده‌اند,سیاست
واکنش محمد فاضلی به عکس جلیلی با دختران: با ینانی که پوشیده تراز مهسا امینی نیست، عکس می‌گیرد، اما یک کلمه علیه گشت ارشاد و طرح نور موضع نمی‌گیرد,سیاست
واکنش آذری جهرمی به پیشتازی پزشکیان در نظرسنجی: کار پای صندوق‌های رای تمام می‌شود؛ به این آمارها نباید دل بست,سیاست
برخی دوستان می‌گویند مذاکره فقط با آمریکا و اروپا نیست،  ۲۰۰ کشور در دنیا وجود دارد؛ تحریم‌های آمریکا را آن ۲۰۰ کشور گوش می‌کنند / از عراق نزدیک‌تر داریم؟ دولت عراق اگر پول ایران را بدهد، از نظر بانکی تحریم می‌شود / هند می‌گوید، چون تحریم هستید ما نمی‌توانیم با شما کار کنیم؛ چین هم همین حرف را زده / از زمان قطعنامه ۱۹۲۹ [در دوره جلیلی]، بببینید قیمت دلار و فروش نفتمان چطور شد,سیاست
بزودی خورشید طلوع خواهد کرد / در تاریک‌ترین شرایط باید امید به طلوع خورشید داشته باشیم,سیاست
تخلف انتخاباتی معاون سیاسی دفتر رئیس جمهور / جمشیدی: با ترکمنستان قرارداد بستیم؛ تیم بی تدبیر پزشکیان بیاموزد,سیاست
استفاده تیم جلیلی از امکانات دولتی / ارسال پیام برای کارمندان شرکت ملی حفاری ایران از طریق سامانه این شرکت دولتی,سیاست
پخش شبنامه های تخریبی وسیع علیه پزشکیان در شهرهای مختلف؛ از تبریز و اصفهان تا تهران,سیاست
شیخ قدرت علیخانی: عده‌ای نمی‌خواهند مشارکت مردم در انتخابات بالا باشد / ادامه دولت فعلی یعنی ادامه گرانی و تورم / شاهد اوج گرفتن بد اخلاقی نسبت به پزشکیان هستیم؛ برخی طلاب را به روستا‌ها و شهر‌ها گسیل کرده اند که برای یک کاندید تبلیغ کنند / اگر مردم در انتخابات حضور پیدا کنند، تخریب و جانبداری‌ها اثری ندارد,سیاست
نظرسنجی ایسپا در دور دوم انتخابات: مشارکت ۴۵ درصد، پزشکیان ۴۹.۵ درصد، جلیلی ۴۳.۹ درصد,سیاست
گرایش جلیلی درمورد روستا‌ها، ادامه گرایش مائوئیست‌هاست؛ همان کاری که در کامبوج انجام دادند اما بعد از ۵ سال کامبوج فقیر شد و میلیون‌ها نفر از گرسنگی مردند / جلیلی خودش هم در وضعیت موجود نقش داشته اما نقش یک بیگناه را بازی می‌کند / انرژی‌ای که آن ۶۰ درصد تحریمی ایجاد کردند، لرزه به اندام اصولگرایان انداخته / الان دیگر دوره خاتمی و روحانی نیست؛ موازنه‌ها به نفع جامعه به هم ریخته است,سیاست
ستاد انتخابات: کد انتخاباتی پزشکیان ۲۲ و جلیلی ۴۴ است / ملاک پیروزی در انتخابات در مرحله دوم، کسب «اکثریت نسبی» آراست / متولدین روز ۱۵ تیرماه سال ۱۳۸۵ و قبل از آن می‌توانند رای بدهند,سیاست
صداوسیما: بیش از ۳۵ میلیون نفر بیننده دو مناظره مرحله دوم انتخابات بودند,سیاست
سخنگوی ستاد انتخابات: نتایج مرحله اول انتخابات تا ساعت ۱۱ صبح اعلام شد؛ در مرحله دوم هم به همین صورت اقدام خواهد شد,سیاست
درخواست کیهان از مردم: رای بدهید تا دولت رئیسی تداوم یابد,سیاست
هاشمی طبا: نگذاریم فاجعه سال‌های ۸۴ تا ۹۲ تکرار شود / سعید جلیلی میلیارد‌ها دلار به ایران خسارت زده,سیاست
سخنگوی حزب اعتماد ملی: اپوزیسیون شکستن سنگر اصلاحات را هدف قرار داده‌اند / پیش‌بینی جهش در میزان رای پزشکیان در دور دوم,سیاست
پایان زمان تبلیغات ۲ نامزد انتخابات ریاست‌جمهوری,سیاست
چرا رییس ستاد جلیلی در همایش دهیاران حاضر شد؟ زاکانی با هلیکوپتر کدام نهاد به سفر انتخاباتی رفت؟,سیاست
صبحانه خبری، ۱۴ تیر ۱۴۰۳؛ از ارسال وسیع پیامک به روحانیون برای تبلیغ علیه پزشکیان با وعده ۲ میلیون تومان تا افشاگری مقام سابق صداوسیما از حضور خانواده جلیلی در این سازمان,سیاست
⁧حمایت حمیدرضا علیمی، ⁩مداح از پزشکیان: هرکس به رهِ علی رود با اوئیم…,سیاست
عصبانیت عباسی، عضو ارشد ستاد جلیلی: چرا از بالا رفتن دیوار سفارت می گویید؟,سیاست
حمایت فرزند شهید جهان آرا از پزشکیان ‏⁧,سیاست
صحبت‌های جالب آذری جهرمی در کنسرت علی یاسینی: ما را بخاطر اینکه پای حرف شما ایستادیم و اینستاگرام را فیلتر نکردیم، احضار و بازجویی کردند,سیاست
پزشکیان: آسیب دیدگان اعتراضات ۱۴۰۱ همانند خانواده من هستند؛ برای استیفای حقوقشان تلاش می کنم,سیاست
پزشکیان: من از دروغ و تبعیض بیزارم / ایرانی سربلند می‌خواهم,سیاست
ظریف: اجازه ندهید به شما بگویند برجام کلاهی بود که بر سر کشور رفت؛ اگر کلاه بود سه سال کشور دست شما بود چرا از آن خارج نشدید؟  / اجازه ندهید گروهی آینده ما را به گذشته خود وصل کنند,سیاست
پزشکیان: خدا نکند که امید شما را به ناامیدی تبدیل کنیم / قول می‌دهم از حقوق مردم ایران، قومیت‌ها و جنسیت‌ها با قدرت دفاع خواهم کرد,سیاست
تذکر تند «مخبر» به «محسن منصوری» به دلیل سوءاستفاده از امکامات دولت به سود جلیلی / منصوری: دروغ است,سیاست
طیب نیا: ایران سیاست مداری می‌خواهد که برای دعوا نیامده باشد؛ ایران را برای همه ایرانیان بخواهد و خودی و غیر خودی نداشته باشد، کسی که تشدید منازعات را نخواهد و گفتگو با دنیا را بخواهد / برنامه ساختنی است و نه نوشتنی,سیاست
اطلاعیه ستاد انتخابات: متولدین ۱۵ تیر ۸۵ و قبل از آن می‌توانند جمعه رأی بدهند,سیاست
ظریف در واکنش به شعارهای جلیلی: من که هشت سال در شورای امنیت بودم یک کلمه از عمق راهبردی متوجه نشدم!,سیاست
پیام حسن روحانی به مردم: به کسانی رأی ندهید که تحریم را برنمی‌دارند و شاید اسنپ‌بک را به ارمغان بیاورند/ اگر شهامتش را دارند با خود من مناظره کنند,سیاست
ظریف خطاب به خانواده بزرگ صنعت حمل‌ونقل: نگذارید ما را از راه‌های مواصلاتی کنار بگذارند؛ وقت آن است که به عاملان تحریم «نه» بگوییم / فرصت‌سوزی بس است، عاملان تحریم را به خانه بفرستید,سیاست
ببینید / پیام ظریف در هواپیما به فعالان صنعت گردشگری: روز جمعه «توهمات» را بشکنیم تا یک جهان فرصت‌سوزی اتفاق نیفتد,سیاست
پزشکیان: اگر نتوانم به قول‌هایم عمل کنم از ادامه کارهای سیاسی خداحافظی خواهم کرد,سیاست
"علی ربیعی: ""تمایل بدون کنش به پزشکیان""، در حال تبدیل شدن به موج  ""اقدام به رای برای پزشکیان"" است / شواهد نشان می‌دهد مرددین در دور دوم هم به نوعی دیگر شگفتی‌ساز خواهند شد",سیاست
آذری جهرمی: ایران اینترنشنال شده رجانیوز، خبری است؟,سیاست
ارسال وسیع پیامک به روحانیون: علیه پزشکیان تبلیغ کنید، ۲ میلیون تومان هدیه بگیرید,سیاست
سخنگوی ستاد انتخابات: شناسه نامزد‌های انتخابات در مرحله دوم، همان شناسه مرحله اول است / شناسه مسعود پزشکیان ۲۲ و شناسه سعید جلیلی ۴۴ است,سیاست
پزشکیان: با بستن مرزها، با جنگیدن با دنیا راه به جایی نخواهیم برد؛ ما با دنیا باید آشتی کنیم /   آدم‌هایی که یک اداره را اداره نکرده اند می‌خواهند مملکت اداره کنند,سیاست
آذری جهرمی: تا عاقل‌ها به تردیدشان غلبه کنند؛ دیوانه‌ها جهان را نابود کردند,سیاست
رسایی در اجتماع حامیان جلیلی در مصلی: قالیباف، خودش، خودش را زده,سیاست
شریف زارچی، استاد اخراجی دانشگاه شریف: طبق اعلام رییس دانشکده مدیریت شریف، جلیلی حتی یک روز در این دانشگاه تدریس نکرده‌/ جلیلی پایان نامه‌اش را زیر نظر علم‌الهدی انجام داده و فارغ‌التحصیل دانشگاه امام صادق است,سیاست
جلیلی: بله، گرانی هم هست، اما این‌ها برای حل مشکل می‌خواهند به دشمن امتیاز دهند,سیاست
تصاویری از گردهمایی اتوبوسی حامیان سعید جلیلی در مصلی تهران,سیاست
رئیس ستاد جلیلی: دولت پزشکیان، دولت قهقهه با دشمن خواهد بود,سیاست
تخلف انتخاباتی فتاح / رئیس ستاد فرمان اجرایی امام: پای جلیلی ایستاده ام، تابعش هم هستم,سیاست
بهزاد نبوی: اگر پزشکیان انتخاب نشود، با توجه به روی کار آمدن ترامپ در امریکا، وضع کشور بسیار بدتر از وضعیت فعلی می‌شود,سیاست
زیدآبادی: نمی‌شود ریسک سپردن قوهٔ مجریه به جلیلی را در چنین وضعی به جان خرید/ به امید آن‌که خداوند به این ملک باستانی و این مردم رنج‌کشیده بار دیگر یاری رساند / روز جمعه رأی خود را به نام دکتر مسعود پزشکیان به صندوق می‌اندازم,سیاست
افشاگری رنجبران مقام سابق صداوسیما: صداوسیما ۳ سال است که در خدمت جلیلی و فامیل‌هایش است؛ فقط برادرش هم نیست / پسرخاله [جلیلی] چطور معاون سیاسی شده که به دستور دفتر رهبری در اسفندماه عزل می‌شود؟/ پس از عزل معاون سیاسی، رئیس دفتر سابق [جلیلی]، معاون سیاسی می‌شود و فرد عزل شده هم می‌شود مشاور عالی سازمان,سیاست
عطاءالله مهاجرانی: نهاد ریاست جمهوری تقریباً تعطیل شده و همه مدیران برای تبلیغ جلیلی رفته‌اند,سیاست
فرزند شهید محمد بروجردی: در برابر پزشکیان کسانی ایستاده‌اند و خودشان را مدعی انقلاب می‌دانند که ۴۰ سال است تندروی می‌کنند,سیاست
فرزند شهید حمید باکری: کسانی که مقابل باکری‌ها کارشکنی کردند امروز حامیان کدام کاندیدا هستند؟ / مرز‌ها هیچ‌گاه چنین شفاف نبوده است / این‌ها برای نوع نگاه خود، انقدر اقتداگرا هستند که حتی به جان بچه‌های مردم در زمان جنگ رحم نکردند/ «برای ایران» توصیه میکنم که سمت مهدی باکری را انتخاب کنید,سیاست
پروازی، عضو شورای مرکزی مجمع ایثارگران: اگر یک نفر از اصولگرایان با زنگنه مناظره کند، همه آنچه ساخته بودند فرو می‌ریزد,سیاست
مهدی کروبی: اگر در مرحله اول پیام تحریم طنین انداز شد، الان باید پیام تغییر پخش شود,سیاست
محمد صدر: شرایط کشور بسیار خطرناک و حساس است/ آمار‌های دولت می‌گوید که ما ۳۰ میلیون نفر زیر خطر فقر داریم / اگر کسی ایران را دوست دارد، به پزشکیان رأی دهد,سیاست
تماشا کنید: مجری پاس گل می‌داد، جلیلی اوت می‌کرد! / تفاوت‌های مشخص سئوالات مجری مناظره از پزشکیان و جلیلی,سیاست
برنامۀ دولت جلیلی: ادارۀ شعب ابی‌طالب با قدرت,سیاست
جبلی: سؤالات دو مناظره اخیر، مستند به اظهارات نامزد‌ها و اطرافیانشان بود,سیاست
عکس/ اتوبوس‌های شهرداری در اطراف مصلی و محل سخنرانی جلیلی,سیاست
نامه وزیر بهداشت روحانی به جلیلی؛ ماجرای توقیف شبانه هواپیمای تجهیزات پزشکی ایران,سیاست
محقق داماد: به «جهل مقدس» یک «نه بزرگ» بگویید و به پزشکیان رأی دهید,سیاست
تشکیل پرونده کیفری برای اخلالگران در برگزاری انتخابات ریاست جمهوری در خارج از کشور,سیاست
همتی: جلیلی در مناظره دروغ گفت؛ در فروردین ۱۴۰۲، تورم دولت رئیسی ۶۹ درصد بود / در سال ۹۹ در اوج فشار تحریم‌های ترامپ، رشد اقتصادی ۴.۱ درصد بود / چرا واقعیت را نمی‌بینید؟ در سال ۹۵ و ۹۶، بیش از ۸ درصد رشد اقتصادی داشتیم,سیاست
ارسال پیامک های تخریبی سنگین علیه پزشکیان و ظریف برای مردم,سیاست
ارسال پیام‌های اعزام طلبه به روستا‌ها جهت حمایت از جلیلی ادامه دارد,سیاست
همه ارکان دولت برای جلیلی پای میدان آمده اند/ تبلیغ مرکز مدیریت حوزه علمیه اصفهان برای جلیلی,سیاست
جایزه حوزه علمیه دارالحکمه: از جلیلی حمایت کنید تا فیلترشکن رایگان بدهیم,سیاست
همه ارکان دولت پای کار جلیلی,سیاست
توزیع غذا جهت جذب رای برای جلیلی,سیاست
جبلی: امسال هم مختارنامه پخش می‌شود,سیاست
نقض حریم خصوصی شهروندان توسط سامانه عجیب جلیلی/ ارائه بدون محدودیت شماره تلفن مردم برای تماس و قانع کردن آن‌ها جهت رای به جلیلی,سیاست
توهین داماد پناهیان و روحانی حامی جلیلی به امام علی (ع) و تمسخر ارادت پزشکیان به ایشان,سیاست
